symbol,label,event_date,note,return_24h,return_72h,volume_ratio,volume_ratio_24h,rank_before,rank_after,rank_change,oi_change_24h,funding,first_macd_negative_time,ema20_break,ema20_break_time,swing_low_break,lower_high,lower_low,rebound_ratio,new_high_after_weakness,max_drawdown_4h,max_drawdown_12h,max_drawdown_24h,max_drawdown_48h,max_adverse_move_4h,max_adverse_move_12h,max_adverse_move_24h,max_adverse_move_48h
LSKUSDT,success,2026-09-12,,0.20367835757057318,0.36479146459747813,6.3090311247635205,10.591380559275203,,,,1.0704691783990339,-8.687e-05,,False,,False,False,False,,,,,,,,,,
UAIUSDT,success,2026-09-09,,-0.010905125408942173,0.3185535162638562,0.23322474265306922,0.6172643869659579,,,,-0.02038219189566215,5e-05,2026-09-10 00:00:00+00:00,True,2026-09-10 04:00:00+00:00,True,True,True,0.4678819444444446,False,-0.0070286659316427524,-0.13547409040793834,-0.13547409040793834,-0.18067805953693494,0.02673649393605282,0.036383682469680156,0.13147739801543534,0.13147739801543534
CYSUSDT,success,2026-08-12,,-0.1706964720194647,0.12512894573963274,1.3209215816340711,1.6413164939507772,,,,,5e-05,2026-08-11 20:00:00+00:00,True,2026-08-11 20:00:00+00:00,False,True,True,0.6468820435762584,False,-0.14394425598239668,-0.14394425598239668,-0.14394425598239668,-0.14394425598239668,0.19088658659576407,0.4621802512148161,0.5641331255157238,0.5641331255157238
TUSDT,success,2026-09-03,,0.3182923534179951,0.3541493200111019,285.54464357224555,367.06643908951827,,,,,5e-05,2026-09-03 20:00:00+00:00,True,2026-09-04 04:00:00+00:00,True,True,True,0.41087613293051356,False,-0.05636400901824146,-0.10760401721664259,-0.11395777823324449,-0.14265218282434922,0.06558721049395366,0.06558721049395366,0.06558721049395366,0.06558721049395366
AKEUSDT,success,2026-09-03,,0.7857467606274151,0.9624031976017988,24.885467853781755,28.68212740942108,,,,,5e-05,2026-09-04 12:00:00+00:00,False,,False,True,False,0.2857230882987245,False,-0.1911399656291769,-0.21068041499586265,-0.21068041499586265,-0.21068041499586265,0.04614601234803639,0.04614601234803639,0.13009992998536068,0.13009992998536068
DASHUSDT,success,2026-09-06,,0.04513137557959812,0.60274946669827,1.1553015267430224,2.929336646862497,,,,,0.0001,2026-09-07 04:00:00+00:00,True,2026-09-07 20:00:00+00:00,True,True,True,0.12614155251141554,False,-0.014196983141082642,-0.03578822833481221,-0.03578822833481221,-0.08325939071280686,0.13043478260869557,0.16459627329192528,0.16459627329192528,0.16459627329192528
BULLAUSDT,false_top,2026-09-08,,0.06447705310684682,1.7965427455518586,0.2984833120139521,0.4836168501623862,,,,-0.013156908336337314,5e-05,,True,2026-09-10 12:00:00+00:00,False,True,True,,,-1.2931591878984072e-05,-0.011897064528643364,-0.030130609077977488,-0.10645286434760104,0.07328333117806807,0.11197465407991714,0.11197465407991714,0.6504332083279452
ZECUSDT,false_top,2026-09-05,,0.08450959295202987,0.22670201229063736,0.777429771791731,2.4051904777320434,,,,,-2.93e-06,2026-09-07 16:00:00+00:00,False,,False,False,False,0.43286704144332605,False,-0.008644061137086934,-0.021010962241169273,-0.021010962241169273,-0.021010962241169273,0.017916781265961967,0.017916781265961967,0.025647322305607068,0.23478448783937766
